index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,timestamp,url
0,Smer,7,74,1000000.0,-419024.12,580975.88,142857.14285714287,-5662.4881081081085,1,1000000.0,1711038704.1875,https://www.transparentneucty.sk/#/ucet/SK8609000000005212781753
1,SaS,3,12,500200.01,-52291.009999999995,447909.0,166733.33666666667,-4357.5841666666665,2,250100.005,1711038704.192906,https://www.transparentneucty.sk/#/ucet/SK3609000000005212248959
2,SNS,7,11,120001.04999999997,-22625.019999999997,97376.02999999997,17143.00714285714,-2056.8199999999997,7,17143.00714285714,1711038704.207695,https://www.transparentneucty.sk/#/ucet/SK1109000000005212432254
3,Republika,4,45,200005.0,-138752.46000000002,61252.53999999998,50001.25,-3083.3880000000004,2,100002.5,1711038704.222125,https://ib.vub.sk/pch/transparentne-ucty?iban=SK5202000000004917050358
4,Progresívne Slovensko,5,57,310357.77,-301002.19999999995,9355.570000000065,62071.554000000004,-5280.740350877192,4,77589.4425,1711038704.239394,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk6111000000002947164568
5,Slovensko,4,64,200000.0,-156536.9,43463.100000000006,50000.0,-2445.8890625,1,200000.0,1711038704.252094,https://www.transparentneucty.sk/#/ucet/SK5509000000005213087085
6,KDH,5,14,71070.0,-9072.05,61997.95,14214.0,-648.0035714285714,5,14214.0,1711038704.256425,https://www.transparentneucty.sk/#/ucet/SK8709000000005213419510
7,Demokrati,9,6,95070.0,-92823.81,2246.1900000000023,10563.333333333334,-15470.635,7,13581.42857142857,1711038704.260909,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk8511000000002946166297
8,Aliancia,2,16,300000.0,-145843.0,154157.0,150000.0,-9115.1875,1,300000.0,1711038704.2660108,https://moja.csob.sk/transparent-accounts/5cfba59aa36dafcd69c39f69aae504e03df19d30983601ba72b700aefea5d295
9,KÚ,3,2,95000.01,-92553.6,2446.409999999989,31666.67,-46276.8,2,47500.005,1711038704.268994,https://www.transparentneucty.sk/#/ucet/SK3509000000005213785166
10,Pirátska strana,3,1,1735.0,-1700.0,35.0,578.3333333333334,-1700.0,2,867.5,1711038704.2713962,https://ib.fio.sk/ib/transparent?a=2202814976
11,Alternatíva pre Slovensko,21,54,2462.5,-2462.0099999999998,0.49000000000023647,117.26190476190476,-45.592777777777776,16,153.90625,1711038704.275125,https://ib.fio.sk/ib/transparent?a=2602594351
